ID,Name,CAS,SMILES
TWS2045,Bruceine D,21499-66-1,CC1=CC(=O)[C@@H](O)[C@@]2(C)[C@H]1C[C@H]1OC(=O)[C@H](O)[C@@]3(O)[C@]4(C)OC[C@]13[C@@H]2[C@@H](O)[C@@H]4O
TWS1563,Incensole,22419-74-5,CC(C)[C@]12CC[C@@](C)(O1)[C@H](O)CC\C(C)=C\CC\C(C)=C/C2
TWS1293,Angelic anhydride,94487-74-8,C\C=C(\C)C(=O)OC(=O)C(\C)=C/C
TWS1229,Aristolone,25274-27-5,C[C@@H]1CCCC2=CC(=O)[C@@H]3[C@@H](C3(C)C)[C@@]12C
TWS0787,Oroxin A,31567-75-6,OC[C@H]1O[C@@H](Oc2cc3oc(cc(=O)c3c(O)c2O)-c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O
TWS0414,Cannabidiol,13956-29-1,CCCCCc1cc(O)c([C@@H]2C=C(C)CC[C@H]2C(C)=C)c(O)c1
TS0032,Lomatin,19380-05-3,CC1(C)Oc2ccc3ccc(=O)oc3c2CC1O
TQ0287,Chrysin-7-O-glucuronide,35775-49-6,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O
TQ0171,Isoastragaloside I ,84676-88-0,CC(=O)OC1COC(C(C1O)OC(=O)C)OC2CCC34CC35CCC6(C(C(CC6(C5CC(C4C2(C)C)OC7C(C(C(C(O7)CO)O)O)O)C)O)C8(CCC(O8)C(C)(C)O)C)C
TN2354,"3-Hydroxy-9,10-dimethoxyptercarpan ",73340-41-7,COc(ccc1c2O[C@H]3c(ccc(O)c4)c4OC[C@@H]13)c2OC
TN2286,Tsugaric acid A,174391-64-1,[H][C@@]12CCC3=C(CC[C@]4(C)[C@H](CC[C@@]34C)[C@@H](CC\C=C(/C)C)C(O)=O)[C@@]1(C)CC[C@@H](OC(C)=O)C2(C)C
TN2268,Tetrahydromagnolol,20601-85-8,CCCc(cc1)cc(-c(cc(CCC)cc2)c2O)c1O
TN2154,Rhein-8-glucoside,34298-86-7,OC[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@H]1Oc(cccc1C(c2cc(C(O)=O)cc(O)c22)=O)c1C2=O
TN2144,Resveratroloside,38963-95-0,OC[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@H]1Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
TN1984,Neoisoliquiritin,59122-93-9,OC[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@H]1Oc(cc1)cc(O)c1C(/C=C/c(cc1)ccc1O)=O
TN1983,Neoisoastilbin,54141-72-9,C[C@@H]([C@@H]([C@H]([C@H]1O)O)O)O[C@H]1O[C@H]([C@H](c(cc1)cc(O)c1O)Oc1c2c(O)cc(O)c1)C2=O
TN1982,Neoglycyrol,23013-84-5,CC(C)=CCc(c(O)cc(O1)c2-c(oc3c4ccc(O)c3)c4C1=O)c2OC
TN1976,Neoastragaloside I,1324005-51-7,[H][C@@]12C[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@]3([H])[C@]4(CC14CC[C@]1(C)C([C@@H](O)C[C@@]21C)[C@]1(C)CC[C@H](O1)C(C)(C)O)CC[C@H](O[C@@H]1OC[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1O)C3(C)C
TN1918,Medicarpin,32383-76-9,COc1cc(O[C@H]2c(ccc(O)c3)c3OC[C@@H]22)c2cc1
TN1902,Magnocurarine,6801-40-7,C[N+](C)(CCc1c2)[C@H](Cc(cc3)ccc3O)c1cc(O)c2OC
TN1860,Licoflavone B,91433-17-9,CC(C)=CCc(cc(cc1)C(Oc2c3cc(CC=C(C)C)c(O)c2)=CC3=O)c1O
TN1839,Kumatakenin,3301-49-3,COc(cc1O)cc(OC(c(cc2)ccc2O)=C2OC)c1C2=O
TN1787,Isomucronulatol 7-O-beta-glucoside,136087-29-1,COc(ccc([C@@H](C1)COc2c1ccc(O[C@@H]([C@@H]([C@H]1O)O)O[C@H](CO)[C@H]1O)c2)c1O)c1OC
TN1773,Isoastragaloside IV,136033-55-1,[H][C@@]12C[C@@H](O)[C@]3([H])[C@]4(CC14CC[C@]1(C)[C@H]([C@H](O)C[C@@]21C)[C@@]1(C)CC[C@H](O1)C(C)(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)CC[C@@H](O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O)C3(C)C
TN1704,Glycyrrhetic acid 3-O-mono-beta-D-glucuronide,34096-83-8,[H][C@@]12C[C@@](C)(CC[C@]1(C)CC[C@]1(C)C2=CC(=O)[C@]2([H])[C@@]3(C)CC[C@@H](O[C@@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)C(O)=O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O
TN1695,Globulol,489-41-8,CC1CCC2C1C1C(CCC2(C)O)C1(C)C
TN1691,Glabrol,59870-65-4,CC(C)=CCc(cc([C@H](C1)Oc(c(CC=C(C)C)c(cc2)O)c2C1=O)cc1)c1O
TN1563,Dehydropachymic acid,77012-31-8,[H][C@@]12CC=C3C(=CC[C@]4(C)[C@@H]([C@@H](CCC(=C)C(C)C)C(O)=O)[C@H](O)C[C@@]34C)[C@@]1(C)CC[C@H](OC(C)=O)C2(C)C
TN1557,Acutilobin,130848-06-5,C/C=C(/C)C(=O)OC1Cc2cc3ccc(=O)oc3cc2OC1(C)C
TN1138,gamma-Fagarine,524-15-2,COc1c2ccoc2nc2c(OC)cccc12
TN1109,3-O-Acetyl-16 alpha-hydroxydehydrotrametenolic acid,168293-14-9,[H][C@@]12CC=C3C(=CC[C@]4(C)[C@@H]([C@@H](CC\C=C(/C)C)C(O)=O)[C@H](O)C[C@@]34C)[C@@]1(C)CC[C@H](OC(C)=O)C2(C)C
TN1100,Nepodin,3785-24-8,CC(c(c(C)cc1cccc(O)c11)c1O)=O
TN1086,Dehydroeburicoic acid,6879-05-6,CC(C)C(=C)CC[C@H]([C@H]1CC[C@@]2([C@@]1(CC=C3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)C(=O)O
TN1085,Dehydrotumulosic acid,6754-16-1,[H][C@@]12CC=C3C(=CC[C@]4(C)[C@@H]([C@@H](CCC(=C)C(C)C)C(O)=O)[C@H](O)C[C@@]34C)[C@@]1(C)CC[C@H](O)C2(C)C
TN1055,Licochalcone E,864232-34-8,C[C@@H](C(C)=C)c(c(O)c1)cc(/C=C/C(c(cc2)ccc2O)=O)c1OC
TN1053,Aloe-emodin-8-O-beta-D-glucopyranoside,33037-46-6,OC[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@H]1Oc(cccc1C(c2cc(CO)cc(O)c22)=O)c1C2=O
TN1033,Sennidin A,641-12-3,OC(c(cc1O)cc([C@H]([C@H](c2cccc(O)c22)c3cc(C(O)=O)cc(O)c3C2=O)c2c3c(O)ccc2)c1C3=O)=O
TN1017,Physcion 1-O-beta-D-glucoside,26296-54-8,Cc(cc1C(c2cc(OC)cc(O)c22)=O)cc(O[C@@H]([C@@H]([C@H]3O)O)O[C@H](CO)[C@H]3O)c1C2=O
TN1011,Rhodionin,85571-15-9,C[C@@H]([C@@H]([C@H]([C@H]1O)O)O)O[C@H]1Oc(cc(c(C1=O)c2OC(c(cc3)ccc3O)=C1O)O)c2O
TMS2262,(-)-CAMPHOR,464-48-2,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2
TMS2182,Trans-Zeatin Riboside,6025-53-2,C\C(CO)=C/CNc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
TMS2181,trans-Zeatin,1637-39-4,C\C(CO)=C/CNc1ncnc2[nH]cnc12
TMS2180,Zeaxanthin,144-68-3,CC(\C=C\C=C(C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
TMS2179,Zeatin,13114-27-7,CC(=CCNC1=NC=NC2=C1NC=N2)CO
TMS1830,5'-IMP disodium salt,4691-65-0,[Na+].[Na+].O[C@@H]1[C@@H](COP([O-])([O-])=O)O[C@H]([C@@H]1O)n1cnc2c1nc[nH]c2=O
TMS1743,Salvigenin,19103-54-9,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1
